vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,vehicle_age_days,km_per_day_in_service,deliveries_assigned,incidents_per_100,failure_rate
V019,Diesel,South,2024-10-21 23:22:00,70.4,151460,Scheduled,v2.2,436,347.38532110091745,3,66.66666666666666,0.0
V020,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1,431,433.99303944315545,12,25.0,0.0
V021,Diesel,Central,2025-06-22 17:38:00,83.0,71294,Active,v2.2,192,371.3229166666667,11,27.27272727272727,0.09090909090909091
V022,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1,337,132.04451038575667,11,27.27272727272727,0.0
V023,Hybrid,East,2024-01-07 23:54:00,70.7,188387,Active,v2.1,724,260.20303867403317,10,30.0,0.1
V024,EV,East,2025-05-26 12:28:00,74.9,56967,Active,v2.1,219,260.1232876712329,7,42.857142857142854,0.14285714285714285
V025,Diesel,Airport,2024-11-03 05:34:00,42.0,52074,Active,v2.1,423,123.1063829787234,6,33.33333333333333,0.0
V026,CargoVan,Riverside,2024-11-07 04:27:00,78.7,200276,InRepair,v2.2,419,477.9856801909308,6,0.0,0.3333333333333333
V027,Diesel,South,2025-08-12 12:37:00,78.6,51052,InRepair,v2.2,141,362.07092198581563,12,33.33333333333333,0.25
V028,EV,East,2024-08-25 02:52:00,75.4,149698,Active,v2.0,493,303.6470588235294,5,20.0,0.0
V029,EV,North,2024-12-04 10:53:00,,130270,Active,v2.0,392,332.32142857142856,4,25.0,0.0
V030,CargoVan,North,2025-09-14 07:20:00,78.0,134360,Active,v2.1,108,1244.0740740740741,15,33.33333333333333,0.13333333333333333
V031,EV,East,2024-07-28 13:57:00,89.3,193526,Active,v1.9,521,371.4510556621881,4,25.0,0.25
V032,CargoVan,North,2024-01-11 00:03:00,74.1,102207,Active,v1.9,720,141.95416666666668,8,12.5,0.0
V033,EV,Airport,2024-09-19 18:57:00,78.6,55241,InRepair,v2.2,468,118.03632478632478,4,25.0,0.0
V034,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0,221,953.316742081448,5,0.0,0.4
V035,CargoVan,East,2025-07-03 09:34:00,83.6,73804,Active,v2.0,181,407.75690607734805,9,55.55555555555556,0.2222222222222222
V036,Diesel,North,2025-09-26 13:33:00,90.4,215767,InRepair,v2.1,96,2247.5729166666665,8,25.0,0.375
V037,CargoVan,South,2025-06-13 23:43:00,56.6,52146,InRepair,v1.9,201,259.43283582089555,7,28.57142857142857,0.7142857142857143
V038,CargoVan,Central,2025-03-16 12:29:00,81.6,68032,Active,v2.1,290,234.59310344827585,5,40.0,0.2
V039,EV,East,2025-01-01 01:38:00,69.5,37024,InRepair,v1.9,364,101.71428571428571,6,50.0,0.16666666666666666
V040,EV,Central,2025-11-23 11:28:00,90.0,133770,Active,v2.0,38,3520.2631578947367,7,14.285714285714285,0.0
V041,EV,East,2024-01-11 21:04:00,78.4,88129,Active,v2.2,720,122.40138888888889,5,0.0,0.0
V042,EV,East,2025-06-21 07:06:00,80.5,215870,InRepair,v1.9,193,1118.4974093264248,13,38.46153846153847,0.23076923076923078
V043,EV,South,2025-02-23 11:32:00,76.4,149922,Scheduled,v2.0,311,482.064308681672,13,30.76923076923077,0.07692307692307693
V044,EV,Airport,2025-02-14 20:35:00,91.8,111243,Active,v2.2,320,347.634375,7,28.57142857142857,0.14285714285714285
V045,EV,East,2025-08-10 04:56:00,88.0,190688,Active,v2.2,143,1333.4825174825176,9,11.11111111111111,0.0
V046,EV,North,2024-07-11 13:31:00,95.8,101425,Active,v1.9,538,188.52230483271376,10,50.0,0.1
V047,EV,Central,2025-02-15 14:49:00,93.7,134347,Scheduled,v2.2,319,421.15047021943576,17,47.05882352941176,0.0
V048,Diesel,Central,2025-10-01 18:21:00,76.1,87659,Active,v2.1,91,963.2857142857143,6,0.0,0.0
V049,Diesel,East,2025-12-09 16:47:00,55.9,15278,Active,v2.2,22,694.4545454545455,6,33.33333333333333,0.0
V050,EV,Riverside,2024-04-04 05:23:00,96.5,114188,Active,v2.1,636,179.54088050314465,4,0.0,0.0
V051,EV,North,2024-11-21 11:04:00,87.8,141107,Active,v2.0,405,348.41234567901233,7,14.285714285714285,0.0
V052,Hybrid,Riverside,2024-11-14 16:11:00,95.4,182486,Active,v1.9,412,442.9271844660194,11,9.090909090909092,0.09090909090909091
V053,CargoVan,West,2024-04-23 20:57:00,73.7,122638,Scheduled,v2.0,617,198.76499189627228,8,25.0,0.25
V054,Hybrid,North,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2,429,211.0909090909091,5,40.0,0.2
V055,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1,209,409.7368421052632,5,20.0,0.2
V056,EV,Central,2024-06-09 16:18:00,78.4,29849,Active,v2.2,570,52.36666666666667,8,25.0,0.125
V057,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0,207,776.6666666666666,8,0.0,0.5
V058,Hybrid,Central,2024-07-11 13:11:00,74.1,15138,Active,v2.0,538,28.13754646840149,8,25.0,0.125
V059,Hybrid,Airport,2024-03-02 20:36:00,85.2,188332,InRepair,v2.1,669,281.51270553064273,6,33.33333333333333,0.3333333333333333
V060,CargoVan,Central,2025-09-09 03:22:00,80.2,65113,InRepair,v2.0,113,576.2212389380531,5,20.0,0.2
V061,Diesel,South,2025-08-06 20:40:00,60.3,126438,Active,v2.2,147,860.1224489795918,8,0.0,0.25
V062,Hybrid,North,2024-02-13 22:26:00,89.9,113343,Active,v2.0,687,164.9825327510917,8,12.5,0.25
V063,EV,Central,2024-01-11 00:19:00,73.6,159860,Active,v2.1,720,222.02777777777777,6,33.33333333333333,0.0
V064,CargoVan,West,2025-12-28 22:35:00,67.3,219116,InRepair,v2.2,3,73038.66666666667,2,50.0,0.0
V065,EV,West,2024-01-05 09:25:00,84.3,217057,Active,v2.1,726,298.9765840220386,11,9.090909090909092,0.0
V066,Hybrid,North,2024-04-10 18:00:00,77.7,98535,Scheduled,v2.2,630,156.4047619047619,9,11.11111111111111,0.0
V067,Hybrid,Central,2025-11-15 00:12:00,57.3,176145,Active,v2.0,46,3829.2391304347825,9,33.33333333333333,0.0
V068,Hybrid,Riverside,2024-06-28 15:49:00,97.5,73769,InRepair,v2.0,551,133.8820326678766,8,25.0,0.0
V069,Hybrid,Central,2025-07-20 18:17:00,71.4,187158,Active,v2.1,164,1141.2073170731708,9,44.44444444444444,0.2222222222222222
V070,CargoVan,North,2025-10-24 17:32:00,62.6,39859,InRepair,v2.0,68,586.1617647058823,6,16.666666666666664,0.5
V071,EV,West,2024-05-27 18:12:00,73.8,195310,Scheduled,v1.9,583,335.00857632933105,7,14.285714285714285,0.0
V072,CargoVan,Airport,2025-02-24 19:07:00,78.1,89109,InRepair,v2.1,310,287.4483870967742,9,11.11111111111111,0.3333333333333333
V073,Hybrid,Airport,2024-05-28 05:33:00,,191353,Active,v2.1,582,328.7852233676976,9,22.22222222222222,0.1111111111111111
V074,CargoVan,East,2025-06-05 03:01:00,62.4,18034,Active,v2.1,209,86.28708133971291,6,16.666666666666664,0.16666666666666666
V075,Diesel,West,2024-04-12 02:10:00,85.5,32441,InRepair,v2.1,628,51.65764331210191,4,25.0,0.5
V076,Diesel,Central,2025-06-19 15:52:00,65.8,106063,InRepair,v1.9,195,543.9128205128205,6,66.66666666666666,0.16666666666666666
V077,EV,South,2025-04-23 19:27:00,67.6,116877,Scheduled,v2.1,252,463.79761904761904,10,20.0,0.1
V078,CargoVan,North,2024-03-04 20:00:00,78.4,153638,Active,v2.1,667,230.34182908545728,6,33.33333333333333,0.16666666666666666
V079,EV,Airport,2025-12-01 18:20:00,100.0,117995,Active,v2.2,30,3933.1666666666665,8,0.0,0.125
V080,EV,East,2024-05-27 22:15:00,100.0,68844,Active,v1.9,583,118.08576329331046,7,14.285714285714285,0.14285714285714285
V081,EV,West,2024-12-28 08:10:00,86.6,165481,Active,v2.2,368,449.6766304347826,9,44.44444444444444,0.0
V082,EV,Central,2024-02-03 08:40:00,81.2,81518,Active,v2.1,697,116.95552367288379,11,27.27272727272727,0.0
V083,CargoVan,North,2024-04-11 18:04:00,79.3,42073,Active,v2.2,629,66.88871224165342,9,33.33333333333333,0.0
V084,CargoVan,Riverside,2024-12-23 06:28:00,47.6,53872,InRepair,v2.1,373,144.4289544235925,7,28.57142857142857,0.2857142857142857
V085,CargoVan,South,2025-09-30 12:01:00,87.3,145652,Active,v2.1,92,1583.1739130434783,9,33.33333333333333,0.0
V086,EV,Central,2024-02-25 07:56:00,82.8,42307,Scheduled,v2.2,675,62.67703703703704,11,18.181818181818183,0.0
V087,Hybrid,Airport,2025-02-09 18:48:00,49.7,116811,Active,v2.1,325,359.41846153846154,5,20.0,0.0
V088,Diesel,North,2024-02-14 14:03:00,80.3,50427,InRepair,v2.1,686,73.50874635568513,13,30.76923076923077,0.15384615384615385
V089,CargoVan,Central,2025-09-27 07:15:00,93.6,136082,InRepair,v1.9,95,1432.4421052631578,3,66.66666666666666,0.0
V090,Hybrid,West,2024-08-16 01:10:00,93.8,98472,InRepair,v2.0,502,196.1593625498008,11,18.181818181818183,0.18181818181818182
V091,Hybrid,East,2025-08-24 05:20:00,58.5,172956,Active,v1.9,129,1340.7441860465117,8,25.0,0.125
V092,Hybrid,East,2024-01-07 14:19:00,80.5,36143,InRepair,v2.1,724,49.921270718232044,8,37.5,0.375
V093,CargoVan,Central,2025-03-04 19:16:00,69.2,119136,Scheduled,v2.0,302,394.49006622516555,9,22.22222222222222,0.1111111111111111
V094,CargoVan,Central,2025-05-22 02:15:00,65.9,159262,Scheduled,v1.9,223,714.1793721973094,11,9.090909090909092,0.18181818181818182
V095,CargoVan,Riverside,2025-11-24 12:43:00,79.0,104553,InRepair,v2.0,37,2825.7567567567567,5,20.0,0.2
V096,CargoVan,East,2025-08-21 07:26:00,85.1,193315,InRepair,v2.0,132,1464.5075757575758,6,33.33333333333333,0.5
V097,EV,Central,2024-11-12 12:56:00,92.1,18680,Active,v2.1,414,45.1207729468599,8,62.5,0.125
V098,Diesel,West,2025-12-29 15:01:00,69.7,73011,Active,v2.1,2,36505.5,15,6.666666666666667,0.0
V099,Hybrid,South,2024-09-06 02:11:00,65.8,92896,Active,v2.0,481,193.13097713097713,13,7.6923076923076925,0.0
V100,CargoVan,East,2024-06-23 11:24:00,60.1,31876,Active,v2.0,556,57.330935251798564,10,30.0,0.2
V101,Hybrid,North,2024-07-10 00:56:00,84.8,106932,InRepair,v2.1,539,198.3896103896104,3,33.33333333333333,0.3333333333333333
V102,EV,West,2024-10-24 12:35:00,77.0,198326,Active,v2.0,433,458.02771362586606,7,28.57142857142857,0.0
V103,Hybrid,North,2025-01-06 03:21:00,100.0,181609,InRepair,v2.1,359,505.87465181058496,8,25.0,0.25
V104,EV,East,2025-06-30 12:21:00,73.9,91441,Active,v2.1,184,496.9619565217391,4,25.0,0.0
V105,EV,Central,2025-02-16 20:04:00,,149291,Active,v2.1,318,469.4685534591195,2,0.0,0.0
V106,CargoVan,North,2024-05-06 13:52:00,74.9,93084,Active,v2.1,604,154.11258278145695,10,20.0,0.0
V107,CargoVan,North,2024-12-25 17:15:00,87.9,96239,Active,v2.0,371,259.4043126684636,7,0.0,0.0
V108,Diesel,Airport,2025-01-31 06:29:00,54.6,141290,InRepair,v1.9,334,423.0239520958084,9,55.55555555555556,0.3333333333333333
V109,Hybrid,Airport,2024-10-17 11:15:00,60.6,193552,InRepair,v2.1,440,439.8909090909091,11,27.27272727272727,0.45454545454545453
V110,EV,East,2025-03-22 01:17:00,85.1,63717,Active,v2.1,284,224.3556338028169,9,44.44444444444444,0.2222222222222222
V111,EV,West,2025-11-11 00:21:00,66.3,208147,Active,v2.1,50,4162.94,7,42.857142857142854,0.0
V112,EV,South,2024-06-08 07:45:00,94.1,19121,InRepair,v2.1,571,33.486865148861646,7,57.14285714285714,0.2857142857142857
V113,Hybrid,Central,2024-05-12 02:12:00,58.9,52725,InRepair,v1.9,598,88.16889632107024,4,25.0,0.25
V114,Hybrid,North,2024-10-03 17:53:00,90.0,84649,Active,v2.2,454,186.45154185022025,17,17.647058823529413,0.17647058823529413
V115,Diesel,South,2024-05-10 17:28:00,57.9,85919,Active,v2.2,600,143.19833333333332,5,20.0,0.0
V116,Diesel,East,2025-04-23 07:10:00,62.7,71822,Active,v2.1,252,285.0079365079365,8,25.0,0.125
V117,Hybrid,South,2025-01-11 11:13:00,65.5,163683,Scheduled,v2.2,354,462.3813559322034,5,40.0,0.2
V118,Diesel,Riverside,2025-02-18 12:40:00,78.0,145165,Active,v2.1,316,459.38291139240505,6,50.0,0.3333333333333333
V119,EV,Riverside,2025-08-17 06:19:00,67.6,215407,InRepair,v2.1,136,1583.875,9,22.22222222222222,0.1111111111111111
V120,EV,Central,2025-05-02 16:13:00,73.6,192246,Active,v2.0,243,791.1358024691358,11,18.181818181818183,0.0
